Sl. No.,District,2014 - Annual Average Rainfall ,2015 - Annual Average Rainfall ,2016 - Annual Average Rainfall ,2017 - Annual Average Rainfall ,2018 - Annual Average Rainfall ,2019 - Annual Average Rainfall ,2020 - Annual Average Rainfall ,2021 - Annual Average Rainfall ,2022 - Annual Average Rainfall ,2023 - Annual Average Rainfall ,2024 - Annual Average Rainfall 
1,Ahmedabad,676,458,419,721,291.6,773,676.5,532,551,532,756
2,Amreli,524,780,711,604,501.1818182,901,1163.636364,731,705,729,866
3,Anand,998,470,492,715,821.375,1053,962,821,799,928,1226
4,Arvalli,818,717,953,887,694,1109,831.8333333,552,916,868,996
5,Banas Kantha,514,929,466,1136,211.0714286,762,731.1428571,494,908,723,651
6,Bharuch,727,496,485,772,733.5555556,1300,1084.666667,815,996,686,1346
7,Bhavnagar,490,569,647,585,449,798,737,649,579,728,830
8,Botad,591,439,532,754,379,982,1002.25,623,586,717,729
9,Chhota Udepur,898,583,835,835,757.3333333,1795,1059.333333,1088,1178,1066,1379
10,Dahod,614,446,811,658,568.8888889,873,585,558,528,719,911
11,Devbhumi Dwarka,670,411,618,689,292.75,1044,2246.5,1015,973,894,2097
12,Gandhinagar,712,641,690,1184,347.75,877,925,553,754,668,964
13,Gir Somnath,999,666,996,1079,1271.5,1182,1536.5,915,1357,1417,1204
14,Jamnagar,478,499,732,674,341.6666667,1161,1444.666667,951,734,896,1290
15,Junagadh,1105,687,959,879,842.1,1380,1649.7,1217,1168,1690,1862
16,Kachchh,298,531,307,464,110.5,746,1162,511,839,764,915
17,Kheda,764,436,554,858,605.1,1085,851.5,664,849,883,1183
18,Mahesana,776,679,457,819,280.1,830,814.5,600,836,701,986
19,Mahisagar,671,478,721,606,481.3333333,845,688.8333333,532,826,962,1066
20,Morbi,424,559,366,952,228.2,973,1085.2,541,640,583,983
21,Narmada,685,596,733,989,708.8,1681,1328.6,1120,1746,1043,1744
22,Navsari,1439,1134,1590,1673,1985.666667,2495,2101.333333,1798,2608,1990,2871
23,Panch Mahals,937,488,891,838,774,1251,964.1428571,700,974,1006,1221
24,Patan,556,661,463,932,185.8888889,702,816.5555556,508,736,587,705
25,Porbandar,892,389,624,649,428.3333333,955,1583.333333,930,1126,868,1664
26,Rajkot,507,606,585,821,364.8181818,1011,1238.909091,937,716,907,1176
27,Sabar Kantha,921,909,678,1068,591.5,1072,968.375,665,1091,892,1004
28,Surat,1023,989,1085,1325,1306.9,2095,2208.3,1477,1892,1402,2199
29,Surendranagar,672,444,356,856,246.6,974,866.3,497,518,558,745
30,Tapi,813,886,1007,1092,1167.714286,1797,1610.857143,1008,1669,1256,2029
31,The Dangs,1706,1368,2201,1913,2243.666667,3182,1664.333333,1722,2726,1933,2865
32,Vadodara,787,344,514,578,543.125,1139,820.5,709,928,721,1180
33,Valsad,1961,1472,2500,2519,2274.5,3176,2037.5,2406,3332,2390,3169
Total,Total,762,650,727,909,638,1192.73,1137.199203,827,1038,948,1264
